source,path_id,type,name,output
level1,3,Mesh,,meshes/level1_Mesh_3.obj
level1,4,Mesh,,meshes/level1_Mesh_4.obj
level1,5,Mesh,,meshes/level1_Mesh_5.obj
level1,6,Mesh,,meshes/level1_Mesh_6.obj
level1,7,Mesh,,meshes/level1_Mesh_7.obj
level1,8,Mesh,,meshes/level1_Mesh_8.obj
level1,9,Mesh,,meshes/level1_Mesh_9.obj
level1,10,Mesh,,meshes/level1_Mesh_10.obj
level1,11,Mesh,,meshes/level1_Mesh_11.obj
level1,12,Mesh,,meshes/level1_Mesh_12.obj
level2,1,Mesh,,meshes/level2_Mesh_1.obj
level2,2,Mesh,,meshes/level2_Mesh_2.obj
level2,3,Mesh,,meshes/level2_Mesh_3.obj
level2,4,Mesh,,meshes/level2_Mesh_4.obj
level2,5,Mesh,,meshes/level2_Mesh_5.obj
level2,6,Mesh,,meshes/level2_Mesh_6.obj
level2,7,Mesh,,meshes/level2_Mesh_7.obj
level2,8,Mesh,,meshes/level2_Mesh_8.obj
level2,9,Mesh,,meshes/level2_Mesh_9.obj
level2,10,Mesh,,meshes/level2_Mesh_10.obj
level2,11,Mesh,,meshes/level2_Mesh_11.obj
level2,12,Mesh,,meshes/level2_Mesh_12.obj
level2,13,Mesh,,meshes/level2_Mesh_13.obj
level2,14,Mesh,,meshes/level2_Mesh_14.obj
level2,15,Mesh,,meshes/level2_Mesh_15.obj
